chr,fromChrPos,toChrPos
5,1,5000001
5,5000001,10000001
5,10000001,15000001
5,15000001,20000001
5,20000001,25000001
5,25000001,30000001
5,30000001,35000001
5,35000001,40000001
5,40000001,45000001
5,45000001,50000001
5,50000001,55000001
5,55000001,60000001
5,60000001,65000001
5,65000001,70000001
5,70000001,75000001
5,75000001,80000001
5,80000001,85000001
5,85000001,90000001
5,90000001,95000001
5,95000001,100000001
5,100000001,105000001
5,105000001,110000001
5,110000001,115000001
5,115000001,120000001
5,120000001,125000001
5,125000001,130000001
5,130000001,135000001
5,135000001,140000001
5,140000001,145000001
5,145000001,150000001
5,150000001,155000001
5,155000001,160000001
5,160000001,165000001
5,165000001,170000001
5,170000001,175000001
5,175000001,180000001
5,180000001,185000001
