chr,fromChrPos,toChrPos
6,1,5000001
6,5000001,10000001
6,10000001,15000001
6,15000001,20000001
6,20000001,25000001
6,25000001,30000001
6,30000001,35000001
6,35000001,40000001
6,40000001,45000001
6,45000001,50000001
6,50000001,55000001
6,55000001,60000001
6,60000001,65000001
6,65000001,70000001
6,70000001,75000001
6,75000001,80000001
6,80000001,85000001
6,85000001,90000001
6,90000001,95000001
6,95000001,100000001
6,100000001,105000001
6,105000001,110000001
6,110000001,115000001
6,115000001,120000001
6,120000001,125000001
6,125000001,130000001
6,130000001,135000001
6,135000001,140000001
6,140000001,145000001
6,145000001,150000001
6,150000001,155000001
6,155000001,160000001
6,160000001,165000001
6,165000001,170000001
6,170000001,175000001
